Song,Combination Number,A_Melody1.wav,B_Melody2.wav,C_Melody3.wav,E_Harmony1.wav,F_Harmony2.wav,H_AddVoice1.wav,I_AddVoice2.wav,J_AddVoice3.wav,L_Bass1.wav,M_Bass2.wav,O_BassDrum.wav,P_Percussion.wav,Q_Ambient1.wav,R_Ambient2.wav,S_Ambient3.wav,Output File
Ants Go Marching,845,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_845.wav
Ants Go Marching,846,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_846.wav
Ants Go Marching,847,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_847.wav
Ants Go Marching,861,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_861.wav
Ants Go Marching,862,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_862.wav
Ants Go Marching,863,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_863.wav
Ants Go Marching,893,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_893.wav
Ants Go Marching,894,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_894.wav
Ants Go Marching,895,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_895.wav
Ants Go Marching,909,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_909.wav
Ants Go Marching,910,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_910.wav
Ants Go Marching,911,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_911.wav
Ants Go Marching,941,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_941.wav
Ants Go Marching,942,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_942.wav
Ants Go Marching,943,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_943.wav
Ants Go Marching,957,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_957.wav
Ants Go Marching,958,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_958.wav
Ants Go Marching,959,ON,OFF,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_959.wav
Ants Go Marching,1037,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1037.wav
Ants Go Marching,1038,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1038.wav
Ants Go Marching,1039,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1039.wav
Ants Go Marching,1053,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1053.wav
Ants Go Marching,1054,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1054.wav
Ants Go Marching,1055,ON,OFF,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1055.wav
Ants Go Marching,1085,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1085.wav
Ants Go Marching,1086,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1086.wav
Ants Go Marching,1087,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1087.wav
Ants Go Marching,1101,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1101.wav
Ants Go Marching,1102,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1102.wav
Ants Go Marching,1103,ON,OFF,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1103.wav
Ants Go Marching,1133,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1133.wav
Ants Go Marching,1134,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1134.wav
Ants Go Marching,1135,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1135.wav
Ants Go Marching,1149,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1149.wav
Ants Go Marching,1150,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1150.wav
Ants Go Marching,1151,ON,OFF,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1151.wav
Ants Go Marching,1421,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1421.wav
Ants Go Marching,1422,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1422.wav
Ants Go Marching,1423,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1423.wav
Ants Go Marching,1437,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1437.wav
Ants Go Marching,1438,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1438.wav
Ants Go Marching,1439,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1439.wav
Ants Go Marching,1469,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1469.wav
Ants Go Marching,1470,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1470.wav
Ants Go Marching,1471,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1471.wav
Ants Go Marching,1485,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1485.wav
Ants Go Marching,1486,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1486.wav
Ants Go Marching,1487,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1487.wav
Ants Go Marching,1517,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1517.wav
Ants Go Marching,1518,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1518.wav
Ants Go Marching,1519,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1519.wav
Ants Go Marching,1533,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1533.wav
Ants Go Marching,1534,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1534.wav
Ants Go Marching,1535,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1535.wav
Ants Go Marching,1613,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1613.wav
Ants Go Marching,1614,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1614.wav
Ants Go Marching,1615,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1615.wav
Ants Go Marching,1629,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1629.wav
Ants Go Marching,1630,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1630.wav
Ants Go Marching,1631,OFF,ON,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1631.wav
Ants Go Marching,1661,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1661.wav
Ants Go Marching,1662,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1662.wav
Ants Go Marching,1663,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1663.wav
Ants Go Marching,1677,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1677.wav
Ants Go Marching,1678,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1678.wav
Ants Go Marching,1679,OFF,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1679.wav
Ants Go Marching,1709,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1709.wav
Ants Go Marching,1710,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1710.wav
Ants Go Marching,1711,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1711.wav
Ants Go Marching,1725,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1725.wav
Ants Go Marching,1726,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1726.wav
Ants Go Marching,1727,OFF,ON,OFF,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1727.wav
Ants Go Marching,1997,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1997.wav
Ants Go Marching,1998,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1998.wav
Ants Go Marching,1999,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_1999.wav
Ants Go Marching,2013,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2013.wav
Ants Go Marching,2014,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2014.wav
Ants Go Marching,2015,OFF,OFF,ON,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2015.wav
Ants Go Marching,2045,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2045.wav
Ants Go Marching,2046,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2046.wav
Ants Go Marching,2047,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2047.wav
Ants Go Marching,2061,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2061.wav
Ants Go Marching,2062,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2062.wav
Ants Go Marching,2063,OFF,OFF,ON,ON,OFF,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2063.wav
Ants Go Marching,2093,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2093.wav
Ants Go Marching,2094,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2094.wav
Ants Go Marching,2095,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2095.wav
Ants Go Marching,2109,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2109.wav
Ants Go Marching,2110,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2110.wav
Ants Go Marching,2111,OFF,OFF,ON,ON,OFF,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2111.wav
Ants Go Marching,2189,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2189.wav
Ants Go Marching,2190,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2190.wav
Ants Go Marching,2191,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2191.wav
Ants Go Marching,2205,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2205.wav
Ants Go Marching,2206,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2206.wav
Ants Go Marching,2207,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2207.wav
Ants Go Marching,2237,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2237.wav
Ants Go Marching,2238,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2238.wav
Ants Go Marching,2239,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2239.wav
Ants Go Marching,2253,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2253.wav
Ants Go Marching,2254,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2254.wav
Ants Go Marching,2255,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2255.wav
Ants Go Marching,2285,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2285.wav
Ants Go Marching,2286,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2286.wav
